scenario,target,fault,run_id,metric,n_services,delta_w_pct,rho_model,rho_hop,rho_random,prec_model,prec_hop,prec_random
user_delay,user,delay,3,cpu,6,-7.580110817470345,-0.15179418517972906,-0.6210590034081188,-0.030358837035945815,0.0,0.0,0.0
user_delay,user,delay,3,mem,6,-7.580110817470345,0.6546536707079772,-0.8280786712108251,-0.13093073414159545,0.5,0.0,0.5
user_disk,user,disk,1,cpu,6,16.87848211434882,0.7142857142857143,-0.20701966780270628,-0.5428571428571429,1.0,0.5,0.0
user_disk,user,disk,1,mem,6,16.87848211434882,0.8857142857142858,-0.8280786712108251,0.08571428571428573,1.0,0.0,0.0
user_disk,user,disk,2,cpu,6,0.27741597861198125,-0.2608969660436018,-0.20701966780270628,0.0,0.0,0.5,0.5
user_disk,user,disk,2,mem,6,0.27741597861198125,-0.898645105261295,-0.6210590034081188,0.9276336570439174,0.0,0.0,1.0
user_disk,user,disk,3,cpu,6,-0.21461026987674958,-0.8804062740424288,-0.20701966780270628,0.21251185925162072,0.0,0.0,0.0
user_disk,user,disk,3,mem,6,-0.21461026987674958,0.3946648814672956,-0.41403933560541256,-0.6982532518267538,0.5,0.0,0.0
user_loss,user,loss,1,cpu,6,-82.71846505938777,0.08571428571428573,0.20701966780270628,0.8857142857142858,0.5,0.5,1.0
user_loss,user,loss,1,mem,6,-82.71846505938777,-0.05797710356524484,0.41403933560541256,-0.14494275891311212,0.0,0.5,0.0
user_loss,user,loss,2,cpu,6,-74.07282229551853,0.14494275891311212,0.8280786712108251,0.4928053803045812,0.5,1.0,0.5
user_loss,user,loss,2,mem,6,-74.07282229551853,-0.02898855178262242,0.6210590034081188,-0.3768511731740915,0.5,0.5,0.5
user_loss,user,loss,3,cpu,6,-64.46099470024063,-0.14285714285714288,0.41403933560541256,-0.08571428571428573,0.0,0.5,0.5
user_loss,user,loss,3,mem,6,-64.46099470024063,-0.14285714285714288,0.41403933560541256,-0.4285714285714286,0.5,0.5,0.5
user_mem,user,mem,1,cpu,6,0.7572871888175574,-0.8285714285714287,0.8280786712108251,0.8285714285714287,0.0,1.0,1.0
user_mem,user,mem,1,mem,6,0.7572871888175574,-0.4394802124588286,0.0,-0.101418510567422,0.0,0.5,0.5
user_mem,user,mem,2,cpu,6,-1.7484762243593697,-0.11595420713048968,0.0,-0.20291986247835694,0.5,0.0,0.0
user_mem,user,mem,2,mem,6,-1.7484762243593697,-0.9276336570439174,-0.20701966780270628,0.753702346348183,0.0,0.0,0.5
user_mem,user,mem,3,cpu,6,-0.8660440400549827,-0.3946648814672956,0.0,0.5768179036829705,0.0,0.0,0.5
user_mem,user,mem,3,mem,6,-0.8660440400549827,-0.23190841426097936,0.0,0.11595420713048968,0.0,0.5,0.0
user_socket,user,socket,1,cpu,6,-2.1262922924661436,-0.8285714285714287,0.20701966780270628,0.48571428571428577,0.0,0.5,0.5
user_socket,user,socket,1,mem,6,-2.1262922924661436,0.6982532518267538,-0.41403933560541256,-0.030358837035945815,0.5,0.0,0.5
user_socket,user,socket,2,cpu,6,-1.8941137080948713,0.8406680016960504,-0.20701966780270628,-0.550782483869826,0.5,0.5,0.0
user_socket,user,socket,2,mem,6,-1.8941137080948713,-0.50709255283711,-0.41403933560541256,-0.304255531702266,0.0,0.0,0.0
user_socket,user,socket,3,cpu,6,-0.7200280371002874,,0.0,,0.5,0.0,0.5
user_socket,user,socket,3,mem,6,-0.7200280371002874,0.5768179036829705,-0.20701966780270628,-0.3946648814672956,0.5,0.0,0.5
