label,target,repeat,scenario,true_tier,tier1_contrib,tier2_contrib,predicted_tier,correct
TrainTicket,ts-travel-service_cpu,9,tier1_driven,tier1,0.028213972055888093,-0.20785868263473048,tier2,False
TrainTicket,ts-travel-service_cpu,9,tier2_driven,tier2,-0.003461397205588801,0.4864913373253493,tier2,True
TrainTicket,ts-seat-service_cpu,0,tier1_driven,tier1,0.0304012774451097,0.08138714570858281,tier2,False
TrainTicket,ts-seat-service_cpu,0,tier2_driven,tier2,-0.0018366467065867751,0.4848945309381238,tier2,True
TrainTicket,ts-seat-service_cpu,1,tier1_driven,tier1,0.007865548902195523,0.07992686626746504,tier2,False
TrainTicket,ts-seat-service_cpu,1,tier2_driven,tier2,-0.0020413572854291392,0.4970273852295409,tier2,True
TrainTicket,ts-seat-service_cpu,2,tier1_driven,tier1,0.024713133732534857,-0.04066522954091814,tier2,False
TrainTicket,ts-seat-service_cpu,2,tier2_driven,tier2,-0.000601516966067857,0.4796314570858282,tier2,True
TrainTicket,ts-seat-service_cpu,3,tier1_driven,tier1,0.0293409980039918,0.12633964071856288,tier2,False
TrainTicket,ts-seat-service_cpu,3,tier2_driven,tier2,-0.00891752495009971,0.48001133732534945,tier2,True
TrainTicket,ts-seat-service_cpu,4,tier1_driven,tier1,8.846307385220256e-05,0.11968798403193612,tier2,False
TrainTicket,ts-seat-service_cpu,4,tier2_driven,tier2,-0.006056207584830311,0.4811140918163669,tier2,True
TrainTicket,ts-seat-service_cpu,5,tier1_driven,tier1,0.023745469061876173,-0.08763369261477048,tier2,False
TrainTicket,ts-seat-service_cpu,5,tier2_driven,tier2,-0.0009935329341316805,0.46405540918163657,tier2,True
TrainTicket,ts-seat-service_cpu,6,tier1_driven,tier1,0.019303153692614598,0.05656910179640718,tier2,False
TrainTicket,ts-seat-service_cpu,6,tier2_driven,tier2,-0.005947465069860245,0.46903329341317346,tier2,True
TrainTicket,ts-seat-service_cpu,7,tier1_driven,tier1,0.0073957684630737595,0.07245253493013971,tier2,False
TrainTicket,ts-seat-service_cpu,7,tier2_driven,tier2,-0.00018363273453091413,0.47527345309381197,tier2,True
TrainTicket,ts-seat-service_cpu,8,tier1_driven,tier1,0.0026095009980039506,0.22892742514970052,tier2,False
TrainTicket,ts-seat-service_cpu,8,tier2_driven,tier2,-0.0036982035928143685,0.4787241516966065,tier2,True
TrainTicket,ts-seat-service_cpu,9,tier1_driven,tier1,0.030960479041916174,0.004975648702594808,tier1,True
TrainTicket,ts-seat-service_cpu,9,tier2_driven,tier2,-0.010192415169660655,0.4692982035928146,tier2,True
