label,target,repeat,scenario,true_tier,true_upstream,tier1_contrib,backpressure_contrib,tier2_contrib,strict_pred,strict_correct,upstream_pred,upstream_correct
TrainTicket,ts-user-service_cpu,8,tier1_driven,tier1,upstream,0.07191504990019976,0.027748662674650763,-0.0358034331337325,tier1,True,upstream,True
TrainTicket,ts-user-service_cpu,8,tier2_driven,tier2,local,-0.010312015968063803,-0.0454631536926148,0.5347731736526944,tier2,True,local,True
TrainTicket,ts-user-service_cpu,9,tier1_driven,tier1,upstream,0.058076167664670775,-0.02127776447105785,-0.02878642714570855,tier1,True,upstream,True
TrainTicket,ts-user-service_cpu,9,tier2_driven,tier2,local,-0.013841117764471039,-0.0393673453093812,0.5322224351297404,tier2,True,local,True
TrainTicket,ts-travel-service_cpu,0,tier1_driven,tier1,upstream,0.06125381237524951,-0.032267145708582745,-0.06891880239520957,tier2,False,local,False
TrainTicket,ts-travel-service_cpu,0,tier2_driven,tier2,local,-0.0075391616766466866,-0.07082123752495006,0.5574182834331335,tier2,True,local,True
TrainTicket,ts-travel-service_cpu,1,tier1_driven,tier1,upstream,0.04205093812375252,-0.10503536926147702,-0.13264031936127743,tier2,False,local,False
TrainTicket,ts-travel-service_cpu,1,tier2_driven,tier2,local,-0.0022545309381237395,-0.0559575249500998,0.5492819161676643,tier2,True,local,True
TrainTicket,ts-travel-service_cpu,2,tier1_driven,tier1,upstream,0.02932726546906185,-0.10065245508982033,-0.10432351297405189,tier2,False,local,False
TrainTicket,ts-travel-service_cpu,2,tier2_driven,tier2,local,-0.005267544910179618,-0.05231457085828338,0.5445681437125751,tier2,True,local,True
TrainTicket,ts-travel-service_cpu,3,tier1_driven,tier1,upstream,0.05834299401197602,-0.07088399201596804,-0.11529532934131739,tier2,False,local,False
TrainTicket,ts-travel-service_cpu,3,tier2_driven,tier2,local,-0.0048635528942115565,-0.06366946107784421,0.5635110578842315,tier2,True,local,True
TrainTicket,ts-travel-service_cpu,4,tier1_driven,tier1,upstream,0.04582195608782435,-0.06667273453093814,-0.13886179640718566,tier2,False,local,False
TrainTicket,ts-travel-service_cpu,4,tier2_driven,tier2,local,-0.005782514970059895,-0.05093125748502986,0.5436958083832337,tier2,True,local,True
TrainTicket,ts-travel-service_cpu,5,tier1_driven,tier1,upstream,0.038373652694610724,-0.08815536926147707,-0.10990291417165668,tier2,False,local,False
