label,delta_pct,node,tier,projected_mean,train_p95,train_max,ood_confidence
SockShop,45,carts_latency-50,tier2,0.6838692029643538,1.1874999999999998,5.5,medium
SockShop,45,orders_cpu,tier2,2.4704144958669767,5.602826944199368,80.04373168689828,high
SockShop,45,orders_mem,tier2,332679284.7128111,336138240.0,656744448.0,high
SockShop,45,orders_latency-50,tier2,0.07159524339407536,0.5000000000000001,2.125,high
SockShop,45,payment_cpu,tier2,0.0857354308856857,0.1010122448979587,19.838419782870968,high
SockShop,45,payment_mem,tier2,4600627.2,5140480.0,7991296.0,high
SockShop,45,payment_latency-50,tier2,0.00236625558307687,0.0028095238095238,0.005,high
SockShop,45,shipping_cpu,tier2,0.6102096923977386,1.788315640825861,13.558962604157635,high
SockShop,45,shipping_mem,tier2,302507308.37333333,307023872.0,604696576.0,high
SockShop,45,shipping_latency-50,tier2,0.0034210580508100387,0.004960949764521125,2.5,high
SockShop,50,catalogue_workload,tier1,6.29845009961999,4.667,5.933,low
SockShop,50,carts_workload,tier1,12.448626999411745,9.667,13.733,low
SockShop,50,user_workload,tier1,24.16754899131595,21.8,30.067,low
SockShop,50,orders_workload,tier1,2.3741353798504594,2.667,15.067,high
SockShop,50,payment_workload,tier1,2.3106025753612984,2.667,3.733,high
SockShop,50,shipping_workload,tier1,2.3084555288634334,2.667,4.0,high
SockShop,50,front-end_cpu,tier2,5.59859319985332,5.168494277294224,6.883132899533267,low
SockShop,50,front-end_mem,tier2,105203002.02666667,110325760.0,358322176.0,high
SockShop,50,front-end_latency-50,tier2,0.09517433910504637,0.0440425531914893,0.0583941605839415,low
SockShop,50,catalogue_cpu,tier2,0.31926983619630733,0.2086698079014107,49.028625708884505,low
SockShop,50,catalogue_mem,tier2,6165394.773333333,6524928.0,329572352.0,high
SockShop,50,catalogue_latency-50,tier2,0.0030785178085560713,0.0031428571428571,0.14601266373267,high
SockShop,50,user_cpu,tier2,1.0145346551719867,1.154028797755648,1.6543799486507298,high
SockShop,50,user_mem,tier2,8045554.346666667,9162752.0,14548992.0,high
SockShop,50,user_latency-50,tier2,0.004465586987375098,0.0056605922551252,0.0175,high
SockShop,50,carts_cpu,tier2,2.6025261968623323,5.5648055996062755,48.76569806376475,high
SockShop,50,carts_mem,tier2,212879127.89333335,222748672.0,432041984.0,high
SockShop,50,carts_latency-50,tier2,1.0506977295440436,1.1874999999999998,5.5,medium
SockShop,50,orders_cpu,tier2,2.489193487755665,5.602826944199368,80.04373168689828,high
SockShop,50,orders_mem,tier2,332095414.5675184,336138240.0,656744448.0,high
SockShop,50,orders_latency-50,tier2,0.07896206132716078,0.5000000000000001,2.125,high
SockShop,50,payment_cpu,tier2,0.08754654310569163,0.1010122448979587,19.838419782870968,high
SockShop,50,payment_mem,tier2,4603016.533333333,5140480.0,7991296.0,high
SockShop,50,payment_latency-50,tier2,0.0023973198073207265,0.0028095238095238,0.005,high
SockShop,50,shipping_cpu,tier2,0.6506258535245636,1.788315640825861,13.558962604157635,high
SockShop,50,shipping_mem,tier2,302520483.84,307023872.0,604696576.0,high
SockShop,50,shipping_latency-50,tier2,0.0033803497211538887,0.004960949764521125,2.5,high
TrainTicket,5,ts-admin-basic-info-service_workload,tier1,0.6480033494699032,0.867,1.2,high
TrainTicket,5,ts-config-service_workload,tier1,8.928834521786241,11.267,14.467,high
TrainTicket,5,ts-price-service_workload,tier1,4.822075300402623,6.080199999999808,7.733,high
TrainTicket,5,ts-admin-travel-service_workload,tier1,0.3241596164720265,0.4,0.667,high
TrainTicket,5,ts-travel-service_workload,tier1,8.991063058934891,13.733,19.0,high
TrainTicket,5,ts-travel2-service_workload,tier1,13.53229776737492,16.467,21.333,high
TrainTicket,5,ts-basic-service_workload,tier1,32.83668327718267,40.067,51.467,high
TrainTicket,5,ts-route-service_workload,tier1,34.03847521378576,40.333,53.0,high
TrainTicket,5,ts-station-service_workload,tier1,48.6711755753751,60.067,81.133,high
TrainTicket,5,ts-train-service_workload,tier1,20.75635535204757,25.6,33.067,high
TrainTicket,5,ts-consign-service_workload,tier1,0.23707132253777705,0.533,1.067,high
TrainTicket,5,ts-consign-price-service_workload,tier1,0.2338017240859588,0.533,1.0,high
TrainTicket,5,ts-food-service_workload,tier1,0.8639211105023329,1.4,2.4,high
TrainTicket,5,ts-food-map-service_workload,tier1,1.496010311448557,2.267,3.6,high
TrainTicket,5,ts-inside-payment-service_workload,tier1,0.2232371920812345,0.533,1.0,high
TrainTicket,5,ts-order-other-service_workload,tier1,8.567876818291483,10.534,14.8,high
TrainTicket,5,ts-order-service_workload,tier1,6.11831940118454,9.333,12.933,high
TrainTicket,5,ts-payment-service_workload,tier1,0.10401407080570078,0.333,0.733,high
TrainTicket,5,ts-preserve-other-service_workload,tier1,0.09793584413110587,0.267,0.733,high
TrainTicket,5,ts-assurance-service_workload,tier1,0.3530457730091325,0.8,1.467,high
TrainTicket,5,ts-contacts-service_workload,tier1,0.4723384385105613,1.0,1.867,high
TrainTicket,5,ts-seat-service_workload,tier1,8.839860070785702,11.2,14.733,high
TrainTicket,5,ts-security-service_workload,tier1,0.2367895191141903,0.533,0.933,high
TrainTicket,5,ts-ticketinfo-service_workload,tier1,32.7921020308143,40.267,50.067,high
TrainTicket,5,ts-user-service_workload,tier1,0.23566331965565374,0.533,0.933,high
TrainTicket,5,ts-ui-dashboard_workload,tier1,4.646669999999999,5.533,6.6,high
TrainTicket,5,ts-admin-basic-info-service_cpu,tier2,0.6497541073327363,1.8823441461353534,9.623131099390445,high
TrainTicket,5,ts-admin-basic-info-service_mem,tier2,230942518.32109532,239837184.0,242450432.0,high
TrainTicket,5,ts-admin-basic-info-service_latency-50,tier2,0.01674296256158938,0.018333333333333337,0.052083333333333336,high
TrainTicket,5,ts-admin-travel-service_cpu,tier2,0.5980734269816236,1.6952896905210149,8.596834321334724,high
TrainTicket,5,ts-admin-travel-service_mem,tier2,226762882.9224936,236658688.0,251432960.0,high
TrainTicket,5,ts-admin-travel-service_latency-50,tier2,0.19898870357096266,0.3125,1.75,high
TrainTicket,5,ts-assurance-service_cpu,tier2,0.5053071710799232,1.6672775741419696,7.7665663734179065,high
TrainTicket,5,ts-assurance-service_mem,tier2,240617829.8521029,252223488.0,272887808.0,high
TrainTicket,5,ts-assurance-service_latency-50,tier2,0.007580598341500671,0.013000000000000003,0.059375,high
TrainTicket,5,ts-auth-service_workload,tier1,2.755116666666667,3.2,3.667,high
TrainTicket,5,ts-auth-service_cpu,tier2,14.436309892652638,17.615055284694392,30.107523510971795,high
TrainTicket,5,ts-auth-service_mem,tier2,245058532.29201487,257466368.0,477708288.0,high
TrainTicket,5,ts-auth-service_latency-50,tier2,0.2380386620523124,0.32828947368420813,1.3515625,high
TrainTicket,5,ts-basic-service_cpu,tier2,6.9448600327994034,14.102169677738312,36.88716565392696,high
TrainTicket,5,ts-basic-service_mem,tier2,245889508.52691796,251654144.0,264810496.0,high
TrainTicket,5,ts-basic-service_latency-50,tier2,0.008734278552208435,0.011495561805961396,0.07005849811631522,high
TrainTicket,5,ts-config-service_cpu,tier2,1.9827917846762375,5.108416941899837,19.480908949592855,high
TrainTicket,5,ts-config-service_mem,tier2,252435354.73355475,258990080.0,268169216.0,high
TrainTicket,5,ts-config-service_latency-50,tier2,0.004393716350766039,0.0075977748936164324,0.017190827085829283,high
TrainTicket,5,ts-consign-price-service_cpu,tier2,0.3796421311451485,1.0861415568807153,4.31573571243858,high
TrainTicket,5,ts-consign-price-service_mem,tier2,238856648.30719247,248791040.0,271323136.0,high
TrainTicket,5,ts-consign-price-service_latency-50,tier2,0.011173698667300664,0.0175,0.0625,high
TrainTicket,5,ts-consign-service_cpu,tier2,0.5192167788394376,1.1637800836638508,5.160261647448178,high
TrainTicket,5,ts-consign-service_mem,tier2,243498846.00560984,259407872.0,262955008.0,high
TrainTicket,5,ts-consign-service_latency-50,tier2,0.02585979176650331,0.0475,0.175,high
TrainTicket,5,ts-contacts-service_cpu,tier2,0.5244758572989535,1.8582684711895971,6.05660137369628,high
TrainTicket,5,ts-contacts-service_mem,tier2,244599140.28914613,254562304.0,260501504.0,high
TrainTicket,5,ts-contacts-service_latency-50,tier2,0.009679431471399092,0.018333333333333333,0.07363595402455198,high
